Id,Label,Type,Behavior
ryangoodenburg3242,ryangoodenburg3242,Commenter,Bot-like
elchicano187,elchicano187,Commenter,Bot-like
avantgarde70,avantgarde70,Commenter,Bot-like
markh3376,markh3376,Commenter,Bot-like
Voretch_,Voretch_,Commenter,Bot-like
fpvfreedomuk,fpvfreedomuk,Commenter,Bot-like
antichristbane8119,antichristbane8119,Commenter,Bot-like
JC-un4bg,JC-un4bg,Commenter,Bot-like
HVAC356,HVAC356,Commenter,Bot-like
proselytizingorthodoxpente8304,proselytizingorthodoxpente8304,Commenter,Bot-like
BillabongRW,BillabongRW,Commenter,Bot-like
sumofbitch,sumofbitch,Commenter,Bot-like
MMG721,MMG721,Commenter,Bot-like
dylancoleman68,dylancoleman68,Commenter,Bot-like
mark.r,mark.r,Commenter,Bot-like
monkeyboy8424,monkeyboy8424,Commenter,Spam
TheB1nary,TheB1nary,Commenter,Bot-like
garypCronshaw,garypCronshaw,Commenter,Bot-like
grumpyoldefarte5430,grumpyoldefarte5430,Commenter,Bot-like
ABX-bb3jb,ABX-bb3jb,Commenter,Bot-like
JoelW93,JoelW93,Commenter,Bot-like
scottlewis7893,scottlewis7893,Commenter,Bot-like
skepticalwhiteguy,skepticalwhiteguy,Commenter,Bot-like
miniaxe4026,miniaxe4026,Commenter,Bot-like
golds335,golds335,Commenter,Bot-like
FALK0R,FALK0R,Commenter,Bot-like
d.b.1176,d.b.1176,Commenter,Bot-like
MonteLogic,MonteLogic,Commenter,Bot-like
nicktechnubyte1184,nicktechnubyte1184,Commenter,Bot-like & Spam
hourbee5535,hourbee5535,Commenter,Bot-like
JLowe-uu8lr,JLowe-uu8lr,Commenter,Spam
briangunter9831,briangunter9831,Commenter,Bot-like
angelmontiel8546,angelmontiel8546,Commenter,Bot-like
violakrone8429,violakrone8429,Commenter,Bot-like
MikeLadnun-un4cs,MikeLadnun-un4cs,Commenter,Bot-like
petermelville5524,petermelville5524,Commenter,Bot-like
boryskostenko,boryskostenko,Commenter,Spam
mikesarten6212,mikesarten6212,Commenter,Bot-like
rowanhaigh8782,rowanhaigh8782,Commenter,Spam
ZWWWzww,ZWWWzww,Commenter,Spam
poppystars9005,poppystars9005,Commenter,Bot-like
d.t.4523,d.t.4523,Commenter,Bot-like & Spam
erikrehtlane4890,erikrehtlane4890,Commenter,Bot-like
edwardsianski725,edwardsianski725,Commenter,Bot-like
user-uu8xn8up8i,user-uu8xn8up8i,Commenter,Bot-like
catharinawestermark5792,catharinawestermark5792,Commenter,Spam
williamdavidthomas3202,williamdavidthomas3202,Commenter,Bot-like
andrewmossop6241,andrewmossop6241,Commenter,Bot-like
PeterAlekseyevichRomanov7,PeterAlekseyevichRomanov7,Commenter,Bot-like
nemokenash,nemokenash,Commenter,Bot-like
petertyson4022,petertyson4022,Commenter,Spam
Ed_Stuckey,Ed_Stuckey,Commenter,Bot-like
ryanwintersmusic,ryanwintersmusic,Commenter,Bot-like
querch1066,querch1066,Commenter,Bot-like
videobyredjade,videobyredjade,Commenter,Bot-like & Spam
hansericsson7058,hansericsson7058,Commenter,Bot-like & Spam
earthtwits,earthtwits,Commenter,Bot-like
user-bp9qx5et3h,user-bp9qx5et3h,Commenter,Bot-like
sollypolkadotty,sollypolkadotty,Commenter,Bot-like
user-rz5di8fv9x,user-rz5di8fv9x,Commenter,Bot-like
Neobert5240,Neobert5240,Commenter,Bot-like
dog68north36,dog68north36,Commenter,Bot-like
parentsgratae1,parentsgratae1,Commenter,Bot-like
WorldCitizen0000,WorldCitizen0000,Commenter,Bot-like
vickikirby6711,vickikirby6711,Commenter,Bot-like
cpaulson9901,cpaulson9901,Commenter,Bot-like
cpk313,cpk313,Commenter,Bot-like
perryedwards4746,perryedwards4746,Commenter,Bot-like
mariafoster7388,mariafoster7388,Commenter,Bot-like
richardallen6878,richardallen6878,Commenter,Bot-like
Fu-orksGive.PEACE.achance.,Fu-orksGive.PEACE.achance.,Commenter,Bot-like
